date,price,notes
12/29/2023,5.29, 
12/30/2023,5.29, 
12/31/2023,5.29, 
01/01/2024,5.29, 
01/02/2024,5.29, 
01/03/2024,5.29, 
01/04/2024,5.29, 
01/05/2024,5.29, 
01/06/2024,5.29, 
01/07/2024,5.29, 
01/08/2024,5.29, 
01/09/2024,5.29, 
01/10/2024,5.29, 
01/11/2024,5.29, 
01/12/2024,5.29, 
01/13/2024,5.29, 
01/14/2024,2.0,3 for $6.00
01/14/2024,2.0,3 for $6.00
01/14/2024,2.0,3 for $6.00
01/15/2024,2.0,3 for $6.00
01/16/2024,2.0,3 for $6.00
01/17/2024,2.0,3 for $6.00
01/18/2024,2.0,3 for $6.00
01/19/2024,2.0,3 for $6.00
01/20/2024,2.0,3 for $6.00
01/21/2024,3.5,2 for $7.00
01/22/2024,3.5,2 for $7.00
01/23/2024,3.5,2 for $7.00
01/24/2024,3.5,2 for $7.00
01/25/2024,3.5,2 for $7.00
01/26/2024,3.5,2 for $7.00
01/27/2024,3.5,2 for $7.00
01/28/2024,3.99, 
01/29/2024,5.29, 
01/30/2024,5.29, 
01/31/2024,5.29, 
02/01/2024,5.29, 
02/03/2024,5.29, 
02/04/2024,2.33,3 for $7.00
02/05/2024,2.33,3 for $7.00
02/06/2024,2.33,3 for $7.00
02/07/2024,2.33,3 for $7.00
02/08/2024,2.33,3 for $7.00
02/09/2024,2.33,3 for $7.00
02/10/2024,2.33,3 for $7.00
02/11/2024,2.33,3 for $7.00
02/12/2024,2.33,3 for $7.00
02/13/2024,2.33,3 for $7.00
02/14/2024,2.33,3 for $7.00
02/15/2024,2.33,3 for $7.00
02/16/2024,2.33,3 for $7.00
02/17/2024,2.33,3 for $7.00
02/18/2024,5.29, 
02/19/2024,5.29, 
02/20/2024,5.29, 
02/21/2024,5.29, 
02/22/2024,5.29, 
02/23/2024,5.29, 
02/24/2024,5.29, 
02/25/2024,5.29, 
02/26/2024,5.29, 
02/27/2024,5.29, 
02/29/2024,5.29, 
03/01/2024,5.29, 
03/02/2024,5.29, 
03/03/2024,2.33,3 for $7.00
03/04/2024,2.33,3 for $7.00
03/05/2024,2.33,3 for $7.00
03/06/2024,2.33,3 for $7.00
03/07/2024,2.33,3 for $7.00
03/08/2024,2.33,3 for $7.00
03/09/2024,2.33,3 for $7.00
03/10/2024,3.5,2 for $7.00
03/11/2024,2.33,3 for $7.00
03/12/2024,3.5,2 for $7.00
03/13/2024,3.5,2 for $7.00
03/14/2024,3.5,2 for $7.00
03/15/2024,3.5,2 for $7.00
03/16/2024,3.5,2 for $7.00
03/17/2024,3.5,2 for $7.00
03/18/2024,3.5,2 for $7.00
03/19/2024,3.5,2 for $7.00
03/20/2024,3.5,2 for $7.00
03/21/2024,3.5,2 for $7.00
03/22/2024,3.5,2 for $7.00
03/23/2024,3.5,2 for $7.00
03/24/2024,3.5,2 for $7.00
03/25/2024,3.5,2 for $7.00
03/26/2024,3.5,2 for $7.00
03/27/2024,3.5,2 for $7.00
03/28/2024,3.5,2 for $7.00
03/29/2024,3.5,2 for $7.00
03/30/2024,3.5,2 for $7.00
03/31/2024,5.29, 
04/01/2024,5.29, 
04/02/2024,5.29, 
04/03/2024,5.29, 
04/04/2024,5.29, 
04/05/2024,5.29, 
04/06/2024,5.29, 
04/07/2024,5.29, 
04/08/2024,5.29, 
04/09/2024,5.29, 
04/10/2024,5.29, 
04/11/2024,5.29, 
04/12/2024,5.29, 
04/13/2024,5.29, 
04/14/2024,5.29, 
04/15/2024,5.29, 
04/16/2024,5.29, 
04/17/2024,5.29, 
04/18/2024,5.29, 
04/19/2024,5.29, 
04/20/2024,5.29, 
04/21/2024,5.29, 
04/22/2024,5.29, 
04/23/2024,5.29, 
04/24/2024,5.29, 
04/25/2024,5.29, 
04/26/2024,5.29, 
04/27/2024,5.29, 
04/28/2024,3.00,2 for $6.00
04/29/2024,3.00,2 for $6.00
04/30/2024,3.00,2 for $6.00
05/01/2024,3.00,2 for $6.00
05/02/2024,3.00,2 for $6.00
05/03/2024,3.00,2 for $6.00
05/04/2024,3.00,2 for $6.00
05/05/2024,3.99,On Sale!
05/06/2024,3.99,On Sale!
05/07/2024,3.99,On Sale!
05/08/2024,3.99,On Sale!
05/09/2024,3.99,On Sale!
05/10/2024,3.99,On Sale!
05/11/2024,5.29,
05/12/2024,5.29,
